Implementing Agency,Sector/Cluster,Activity Category,Org Type,District,Sub Dstrict,Village,Place Name,Activity,Materials/Service Provided,Primary Beneficiary,# of Primary Beneficiaries,Status,Start Date,End Date
PMI,Health,,Red Cross/Red Cresent,Sigi,Tanambulava,Sibowi,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-10-2018,Oct-10-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Mantikulore,Tondo,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-10-2018,Oct-10-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Palu Selatan,Birobuli Selatan,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-10-2018,Oct-10-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Markas PMI Provinsi,Medical Service,,General population,,ongoing,Oct-10-2018,Oct-10-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Nokilalaki,Kamarora A,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-11-2018,Oct-11-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Palolo,Bahagia,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-11-2018,Oct-11-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Palolo,Makmur,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-11-2018,Oct-11-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Tanambulava,Sibowi,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-11-2018,Oct-11-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Banawa,Boya,Markas PMI Donggala,Medical Service,,General population,,ongoing,Oct-11-2018,Oct-11-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Tanantovea,Nupa Bomba,Nupa Bomba,Medical Service,,General population,,ongoing,Oct-11-2018,Oct-11-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Markas PMI Provinsi,Medical Service,,General population,,ongoing,Oct-11-2018,Oct-11-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Tawaeli,Panau,Panau,Medical Service,,General population,,ongoing,Oct-11-2018,Oct-11-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Ulujadi,Tipo,Tipo,Medical Service,,General population,,ongoing,Oct-11-2018,Oct-11-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Labuan,Labuan Toposo,Labuan Toposo,Medical Service,,General population,,ongoing,Oct-12-2018,Oct-12-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Gumbasa,Pandere,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-12-2018,Oct-12-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Sidondo Ii,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-12-2018,Oct-12-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Markas PMI Provinsi,Medical Service,,General population,,ongoing,Oct-12-2018,Oct-12-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Banawa,Boya,Markas PMI Donggala,Medical Service,,General population,,ongoing,Oct-12-2018,Oct-12-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Banawa,Loli Saluran,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-12-2018,Oct-12-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Banawa,Boya,Markas PMI Donggala,Medical Service,,General population,,ongoing,Oct-13-2018,Oct-13-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Banawa Tengah,Salubomba,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-13-2018,Oct-13-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Labuan,Labuan,Labuan,Medical Service,,General population,,ongoing,Oct-13-2018,Oct-13-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Gumbasa,Tuwa,Tempat Pengungsian,Medical Service,,General population,,ongoing,Oct-13-2018,Oct-13-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Markas PMI Provinsi,Medical Service,,General population,,ongoing,Oct-13-2018,Oct-13-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Banawa,Boya,Markas PMI Donggala,Medical Service,,General population,,ongoing,Oct-14-2018,Oct-14-2018
PMI,Health,,Red Cross/Red Cresent,Sigi,Dolo Barat,Pewunu,Pewunu,Medical Service,,General population,,ongoing,Oct-14-2018,Oct-14-2018
PMI,Health,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Markas PMI Provinsi,Medical Service,,General population,,ongoing,Oct-14-2018,Oct-14-2018
PMI,Health,,Red Cross/Red Cresent,Donggala,Sirenja,Balentuma,Kliinik Lapangan PMI,Medical Service,,General population,,ongoing,Oct-15-2018,Oct-14-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Boya,Boya,Distribution,,Households,,completed,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Sindue,Kavaya,Kavaya,Distribution,,Households,,completed,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Loli Saluran,Loli Saluran,Distribution,,Households,,completed,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Loli Pesua,Loli Pesua,Distribution,,Households,,completed,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Loli Tasiburi,Loli Tasiburi,Distribution,,Households,,completed,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Kabonga Kecil,Kabonga Kecil,Distribution,,Households,,completed,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Kabonga Kecil,Kabonga Kecil,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Ganti,Ganti,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Sirenja,Sipi,Sipi,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Sindue,Kavaya,Kavaya,Distribution,,Households,,completed,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Loli Saluran,Loli Saluran,Distribution,,Households,,completed,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Loli Pesua,Loli Pesua,Distribution,,Households,,completed,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Loli Tasiburi,Loli Tasiburi,Distribution,,Households,,completed,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Sirenja,Sipi,Sipi,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Kabonga Kecil,Kabonga Kecil,Distribution,,Households,,completed,Oct-10-2018,Oct-10-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-01-2018,Oct-01-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-02-2018,Oct-02-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-03-2018,Oct-03-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-04-2018,Oct-04-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-05-2018,Oct-05-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Barat,Balaroa,Balaroa,Distribution,,Households,,completed,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Talise,Talise,Distribution,,Households,,completed,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Utara,Taipa,Taipa,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Utara,Mamboro,Mamboro,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Utara,Mamboro Barat,Mamboro Barat,Distribution,,Households,,completed,Oct-10-2018,Oct-10-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Tawaeli,Panau,Panau,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Selatan,Petobo,Petobo,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Selatan,Birobuli Selatan,Birobuli Selatan,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Tatanga,Palupi,Palupi,Distribution,,Households,,completed,Oct-10-2018,Oct-10-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Barat,Ujuna,Ujuna,Distribution,,Households,,completed,Oct-10-2018,Oct-10-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Tatanga,Tawanjuka,Tawanjuka,Distribution,,Households,,completed,Oct-10-2018,Oct-10-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-02-2018,Oct-02-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-04-2018,Oct-04-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Utara,Taipa,Taipa,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Utara,Mamboro,Mamboro,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Utara,Mamboro Barat,Mamboro Barat,Distribution,,Households,,completed,Oct-10-2018,Oct-10-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Tawaeli,Panau,Panau,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Selatan,Petobo,Petobo,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Selatan,Birobuli Selatan,Birobuli Selatan,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Tatanga,Palupi,Palupi,Distribution,,Households,,completed,Oct-10-2018,Oct-10-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Barat,Ujuna,Ujuna,Distribution,,Households,,completed,Oct-10-2018,Oct-10-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Tatanga,Tawanjuka,Tawanjuka,Distribution,,Households,,completed,Oct-10-2018,Oct-10-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-01-2018,Oct-01-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-02-2018,Oct-02-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-03-2018,Oct-03-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-04-2018,Oct-04-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-05-2018,Oct-05-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-02-2018,Oct-02-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Selatan,Birobuli Selatan,Birobuli Selatan,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Kabobona,Kabobona,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Soulowe,Soulowe,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Palolo,,,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Gumbasa,Pakuli,Pakuli,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Kulawi,,,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Gumbasa,,,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo Barat,Kaleke,Kaleke,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo Barat,Rarampadende,Rarampadende,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Kinovaro,Balane,Balane,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Karawana,Karawana,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo Barat,Pesaku,Pesaku,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo Barat,Mantikole,Mantikole,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo Selatan,Balongga,Balongga,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo Selatan,Wisolo,Wisolo,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo Barat,Bobo,Bobo,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Karawana,Karawana,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Palolo,,,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Gumbasa,Pakuli,Pakuli,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Kulawi,,,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Gumbasa,,,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo Barat,Pesaku,Pesaku,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo Barat,Mantikole,Mantikole,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo Selatan,Sambo,Sambo,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Mpanau,Mpanau,Distribution,,Households,,completed,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Kota Pulu,Kota Pulu,Distribution,,Households,,completed,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Kalukubula,Kalukubula,Distribution,,Households,,completed,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Jono Oge,Jono Oge,Distribution,,Households,,completed,Oct-14-2018,Oct-14-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Lolu,Lolu,Distribution,,Households,,completed,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Mpanau,Mpanau,Distribution,,Households,,completed,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Sidera,Sidera,Distribution,,Households,,completed,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Tulo,Tulo,Distribution,,Households,,completed,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Kota Pulu,Kota Pulu,Distribution,,Households,,completed,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Loru,Loru,Distribution,,Households,,completed,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Jono Oge,Jono Oge,Distribution,,Households,,completed,Oct-14-2018,Oct-14-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Lolu,Lolu,Distribution,,Households,,completed,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Mpanau,Mpanau,Distribution,,Households,,completed,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Sigi Biromaru,Sidera,Sidera,Distribution,,Households,,completed,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Tulo,Tulo,Distribution,,Households,,completed,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Kota Pulu,Kota Pulu,Distribution,,Households,,completed,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Kotarindau,Kotarindau,Distribution,,Households,,completed,Oct-11-2018,Oct-11-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Ganti,Ganti,Distribution,,Households,,completed,Oct-12-2018,Oct-12-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa Tengah,Towale,Towale,Distribution,,Households,,completed,Oct-13-2018,Oct-13-2018
PMI,WASH,,Red Cross/Red Cresent,Donggala,Banawa,Maleni,Maleni,Distribution,,Households,,completed,Oct-13-2018,Oct-13-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Distribution,,Households,,completed,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Palu Barat,Balaroa,Balaroa,Distribution,,Households,,completed,Oct-06-2018,Oct-06-2018
PMI,WASH,,Red Cross/Red Cresent,Palu,Mantikulore,Talise,Talise,Distribution,,Households,,completed,Oct-07-2018,Oct-07-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Kabobona,Kabobona,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Karawana,Karawana,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Soulowe,Soulowe,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Kinovaro,Balane,Balane,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Kabobona,Kabobona,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Karawana,Karawana,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Dolo,Soulowe,Soulowe,Distribution,,Households,,completed,Oct-08-2018,Oct-08-2018
PMI,WASH,,Red Cross/Red Cresent,Sigi,Kinovaro,Balane,Balane,Distribution,,Households,,completed,Oct-09-2018,Oct-09-2018
UNFPA/KPPST/LIBU,GBV,,UN Agencies,Palu,Palu Timur,Besusu Timur,WFS Vatulemo,WFS Establishment,,Woman at reproductive age,,completed,43384,43388
UNFPA/KPPST/LIBU,GBV,,UN Agencies,Palu,Palu Barat,Siranindi,WFS Mesjid Agung,WFS Establishment,,Woman at reproductive age,,completed,43384,43388
UNFPA/KPPST/LIBU,GBV,,UN Agencies,Palu,Palu Selatan,Petobo,WFS Petobo,WFS Establishment,,Woman at reproductive age,,completed,43384,43388
WVI,Shelter,,International NGOs,Donggala,Tanantovea,Wani 1,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Donggala,Sindue,Lero,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Donggala,Balaesang Tanjung,Walandano,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Palu,Palu Barat,Lere,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Palu,Palu Barat,Baru,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Palu,Tawaeli,Lambara,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Palu,Tawaeli,Baiya,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Palu,Tawaeli,Pantoloan Boya,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Palu,Ulujadi,Buluri,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Palu,Ulujadi,Tipo,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Palu,Ulujadi,Watusampu,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Palu,Palu Utara,Mamboro Barat,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Palu,Palu Utara,Mamboro,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Early Recovery,,International NGOs,Sigi,Dolo Selatan,Bangga,,"Market Assessment
Multipurpose Cash assistance",,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Sigi,Sigi Biromaru,"Jono Oge
",,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Sigi,Sigi Biromaru,Loru,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Sigi,Sigi Biromaru,Sidera,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Sigi,Marawola,Padende,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Sigi,Marawola,Baliase,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Sigi,Marawola,Sibedi,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Sigi,Dolo Selatan,Rogo,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Sigi,Dolo Selatan,Jono,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Sigi,Dolo Selatan,Bangga,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Parigi Moutong,Parigi Selatan,Nambaru,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Parigi Moutong,Parigi,Bantaya,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Shelter,,International NGOs,Parigi Moutong,Parigi Tengah,Petapa,,Distribution of Children under 2  Kit  Shelter Kit  Hygiene Kit  food package,,household,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Nutrition,,International NGOs,Donggala,Tanantovea,Wani 1,,Activate public kitchen of IYCF in Palu  Sigi   Donggala and Parigi Moutong in collaboration wth Social Department of Central Sulawesi province  Conduct Mobile Clinic by mobilizing professional volunteers (medical doctor)  Mobilizing Nutrition Councellor,,children,,ongoing,Oct-01-2018,Mar-30-2019
WVI,Nutrition,,International NGOs,Donggala,Sindue,Lero,,Activate public kitchen of IYCF in Palu  Sigi   Donggala and Parigi Moutong in collaboration wth Social Department of Central Sulawesi province  Conduct Mobile Clinic by mobilizing professional volunteers (medical doctor)  Mobilizing Nutrition Councellor,,children,,ongoing,Oct-01-2018,Mar-30-2019
